# E(eV),Radius(Rp),Tau
1.992287787500658624e+03,1.162338894763197327e+10,3.943420255518124832e-05
1.992287787500658624e+03,1.205097545873912430e+10,2.889749813791816699e-05
1.992287787500658624e+03,1.247856196984627533e+10,2.212457931043105042e-05
1.992287787500658624e+03,1.290614848095342827e+10,1.750489812818543657e-05
1.992287787500658624e+03,1.333373499206057930e+10,1.423670329750392276e-05
1.992287787500658624e+03,1.376132150316773033e+10,1.184989050768818485e-05
1.992287787500658624e+03,1.418890801427488327e+10,1.004886065420014736e-05
1.992287787500658624e+03,1.461649452538203430e+10,8.640890428898835937e-06
1.992287787500658624e+03,1.504408103648918533e+10,7.515945544783517700e-06
1.992287787500658624e+03,1.547166754759633827e+10,6.595820394500895995e-06
1.992287787500658624e+03,1.589925405870348930e+10,5.836006425638223676e-06
1.992287787500658624e+03,1.632684056981064224e+10,5.195645425104399982e-06
1.992287787500658624e+03,1.675442708091779137e+10,4.649285475381275404e-06
1.992287787500658624e+03,1.718201359202494431e+10,4.179524988122946807e-06
1.992287787500658624e+03,1.760960010313209915e+10,3.767896090091537965e-06
1.992287787500658624e+03,1.803718661423925018e+10,3.410934427130572117e-06
1.992287787500658624e+03,1.846477312534639740e+10,3.096148221549437026e-06
1.992287787500658624e+03,1.889235963645355225e+10,2.818280468519270225e-06
1.992287787500658624e+03,1.931994614756070709e+10,2.567466658116651208e-06
1.992287787500658624e+03,1.974753265866785431e+10,2.346840728283418558e-06
1.992287787500658624e+03,2.017511916977500534e+10,2.149471413622121434e-06
1.992287787500658624e+03,2.060270568088216019e+10,1.969102139117354033e-06
1.992287787500658624e+03,2.103029219198931122e+10,1.808425356573615784e-06
1.992287787500658624e+03,2.145787870309646225e+10,1.664104614128073592e-06
1.992287787500658624e+03,2.188546521420361328e+10,1.533893505445818734e-06
1.992287787500658624e+03,2.231305172531076431e+10,1.412974779975002424e-06
1.992287787500658624e+03,2.274063823641791916e+10,1.304448268905724629e-06
1.992287787500658624e+03,2.316822474752507019e+10,1.206432247598624001e-06
1.992287787500658624e+03,2.359581125863221741e+10,1.114205583220313575e-06
1.992287787500658624e+03,2.402339776973937225e+10,1.033389281550682063e-06
1.992287787500658624e+03,2.445098428084652710e+10,9.595864386716266394e-07
1.992287787500658624e+03,2.487857079195367432e+10,8.881897505215009348e-07
1.992287787500658624e+03,2.530615730306082535e+10,8.269758012588600176e-07
